epoch,Train_loss,Test_loss,Train_f1_score,Train_auroc,Test_f1_score,Test_auroc
1,0.09919627010822296,0.10838755965232849,0.7057127726349159,0.8971337940574605,0.6954692936376244,0.9018230204430506
2,0.09054183959960938,0.0931679978966713,0.7190895015910339,0.9129771820543461,0.7192542593343082,0.9064268367620223
3,0.09326057136058807,0.09993558377027512,0.7217728207438219,0.9145066891963892,0.7101403436356689,0.9063865606725955
4,0.09215959161520004,0.08797185868024826,0.7231703180620019,0.9151568034504882,0.7148954092168386,0.9068268145112127
5,0.09322163462638855,0.09698502719402313,0.7247174952533345,0.9158144700374659,0.7139926617342006,0.9067853343816329
6,0.09293751418590546,0.08082588016986847,0.7258745704461286,0.9164207212358274,0.7139428734836079,0.9063681634740063
7,0.09042498469352722,0.08446493744850159,0.7265487486856897,0.916593123064047,0.7414716394780259,0.9070780853582429
8,0.08770999312400818,0.08202662318944931,0.7275767858130054,0.9169485316460061,0.7247555825784197,0.90702641347485
9,0.09115348756313324,0.1006406918168068,0.7283041021059902,0.9171172367550079,0.7034279423611867,0.907210792932772
10,0.09038322418928146,0.09130191802978516,0.7283758001726427,0.9172126762414065,0.716285824225581,0.9081291360899509
11,0.09948321431875229,0.10429700464010239,0.7289922039160603,0.9172783724515966,0.7145611282422574,0.9050748782822918
12,0.09179144352674484,0.09158144891262054,0.7293837096902436,0.9173120210936571,0.7137238253277777,0.9074738472372674
13,0.09640691429376602,0.09452759474515915,0.7299492927951071,0.9174832984464575,0.7242931144363146,0.9078071088484687
14,0.09323584288358688,0.08425527811050415,0.7308982907703614,0.9177720942170229,0.7107915806224202,0.9046729536549213
15,0.08911915868520737,0.11085478216409683,0.7311642781005607,0.9178266478945113,0.7291902208439742,0.9078329503924049
