epoch,Train_loss,Test_loss,Train_f1_score,Train_auroc,Test_f1_score,Test_auroc
1,0.05959684029221535,0.049140818417072296,0.7869964350443441,0.9218798228779865,0.8152901123574805,0.9282149196760477
2,0.05245395004749298,0.045501112937927246,0.8146103904854729,0.9360873473499635,0.8236170757681737,0.9287989687755404
3,0.04687284678220749,0.053003765642642975,0.818722997671722,0.9369765924325967,0.8027201754832709,0.9288722708269931
4,0.04690760746598244,0.040396347641944885,0.8200331035498274,0.937655405265354,0.8155186329481713,0.9309546421700847
5,0.052394088357686996,0.07552369683980942,0.821594512030206,0.9383901467545737,0.8304354863551331,0.9288933278212783
6,0.05352295935153961,0.04817149415612221,0.8214261799572589,0.9382185087624189,0.8192044296291922,0.9311308274530944
7,0.0534493550658226,0.042856600135564804,0.8232898501472976,0.9390142887308205,0.8120369027706643,0.9307508207076025
8,0.042194914072752,0.05383377894759178,0.8239574660759161,0.9393259766875557,0.8204093927147375,0.930546422849686
9,0.05475292354822159,0.04556121677160263,0.8240190589715759,0.9390099159346544,0.8216470134298655,0.9301995804434982
10,0.045237258076667786,0.04530065134167671,0.8245885998110263,0.939463926884734,0.8087160365911382,0.9305111513664858
11,0.05121107026934624,0.054479338228702545,0.8249800923173315,0.9394660692208113,0.7949603046039397,0.9299577382667685
12,0.04952326789498329,0.04460665211081505,0.8253723011586421,0.9395102616511113,0.8196360531952314,0.9306254625842625
13,0.04611855372786522,0.0402512289583683,0.825043546509275,0.939376693299333,0.8214167728533747,0.9296527745574784
14,0.052110228687524796,0.05359585955739021,0.8253291593421226,0.9396623498295964,0.8208505562109695,0.9294257530607745
15,0.04510745406150818,0.038813330233097076,0.8267727291081571,0.9400094918258186,0.8016372194177974,0.9303522065211217
