epoch,Train_loss,Test_loss,Train_f1_score,Train_auroc,Test_f1_score,Test_auroc
1,0.12703853845596313,0.14416801929473877,0.837800496366005,0.91760891220978,0.8442652258971216,0.9104107334790825
2,0.1366422176361084,0.12056577205657959,0.8567631730458843,0.9205649363514796,0.856466659528414,0.9121543376230532
3,0.12418955564498901,0.16652274131774902,0.8611060172880808,0.9204512627152869,0.8573576644847986,0.9116612236316647
4,0.11963516473770142,0.11169207096099854,0.8634526170294045,0.9221020044552912,0.8573285924748343,0.9131270803326185
5,0.12129455804824829,0.11120432615280151,0.8646428415393748,0.922960119240135,0.8552337313141214,0.9133745496652371
6,0.106192946434021,0.11128890514373779,0.8656018498329201,0.9232148430670944,0.8575034244989985,0.9143685564921784
7,0.10578584671020508,0.12552547454833984,0.8664628009958858,0.9231004189957587,0.8582121590984825,0.9139844594912173
8,0.09781736135482788,0.08212286233901978,0.8672372489293944,0.9235143999021574,0.8603595017010015,0.9134635283783333
9,0.09566593170166016,0.11333322525024414,0.8679561396077514,0.9232457754430411,0.8614281185899308,0.9143712359340254
10,0.09972721338272095,0.11663615703582764,0.8687804903948309,0.9238170214640854,0.8636070773860366,0.9137019841788391
11,0.1363188624382019,0.1392451524734497,0.8690987144832641,0.9241892997744094,0.8581544119536244,0.9146115795655331
12,0.09726417064666748,0.10546863079071045,0.8698077097099839,0.9244256254046169,0.8498319178202829,0.9112543917933431
13,0.11701852083206177,0.12309306859970093,0.8705837710318949,0.924736986919201,0.8576378625335631,0.9146446912589472
14,0.09565848112106323,0.14713352918624878,0.8708411031880633,0.9248605957442689,0.8588700894784018,0.914719900438968
15,0.10526072978973389,0.09380853176116943,0.8710162780197717,0.9249591865799025,0.860951845716328,0.9155948491466106
