epoch,Train_loss,Test_loss,Train_f1_score,Train_auroc,Test_f1_score,Test_auroc
1,0.10997402667999268,0.0928221344947815,0.8880171057692315,0.9304226226054475,0.889029835434053,0.9243027403183071
2,0.10748416185379028,0.07850682735443115,0.8978588811874343,0.9312836446561574,0.8953408675672341,0.9235409628068978
3,0.07447534799575806,0.08311039209365845,0.9005104634616377,0.9310304246458759,0.8918919716270941,0.9239000036299897
4,0.07769012451171875,0.06792598962783813,0.9021388297095757,0.9310489039067124,0.8887414555837908,0.9235630515481968
5,0.08696025609970093,0.09053844213485718,0.9037239541648986,0.9314094949223619,0.8893735507130474,0.9199282119434153
6,0.09003639221191406,0.09135210514068604,0.9050203621159321,0.9314520906987389,0.8870347277831271,0.923152308172593
7,0.07347148656845093,0.08817005157470703,0.9061183045349849,0.9316892267561392,0.8926362574650043,0.92202702860995
8,0.07405292987823486,0.10575884580612183,0.9070864556741411,0.9322731960183934,0.8974487863934363,0.9238317967293062
9,0.06966221332550049,0.0732315182685852,0.9081834406904944,0.9324897295782569,0.8967899190904218,0.9242448249404195
10,0.07520264387130737,0.06276148557662964,0.9089978945840296,0.9327608120155851,0.8990026992554115,0.9224092324612763
11,0.0673290491104126,0.07297277450561523,0.9104808614243206,0.9329825316455375,0.8948288769666363,0.9236232591821378
12,0.07946187257766724,0.05490940809249878,0.911504168644105,0.9333598388931281,0.8910362222501725,0.9230694369689644
13,0.07086992263793945,0.07209807634353638,0.9117496660400641,0.9335255833175015,0.8966835364841637,0.9241300469842927
14,0.06901025772094727,0.07776260375976562,0.9125264895017494,0.9336323575081829,0.8969612374135193,0.9244561764254727
15,0.06373977661132812,0.12628942728042603,0.9135042075190806,0.9336595197830209,0.9012643150706467,0.9238426385163901
